NumeroComprobante,FechaFactura,IdItem,NombreProducto,Descripcion,Cantidad,Precio,Total
B0200003347,2026-05-21,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,,1,33000.0,28502.1
B0200003347,2026-05-21,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003347,2026-05-21,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003347,2026-05-21,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003348,2026-05-21,337,INSTALACION,1 PATA DEFENSA TRASERA HIJET,1,1000.0,1000.0
B0200003349,2026-05-20,605,KIT-DEFENSA DELANTERA NV 200,,1,16000.0,15200.0
B0200003349,2026-05-20,606,KIT-DEFENSA TRASERA NV-200,,1,13000.0,13000.0
B0200003349,2026-05-20,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003349,2026-05-20,1310,PARRILLA NISSAN NV 200,,1,19500.0,19500.0
B0200003349,2026-05-20,562,Materiales de instalacion 2 piezas,"---------------------

Que incluye el KIT!!!!


1-Garantía de 3 años contra oxidación: Te ofrece tranquilidad y confianza.

2-Instalación completa: Asegura un montaje adecuado y profesional.

3-Pintura automotriz (Urethano): Garantiza un acabado excelente y duradero.",1,2500.0,2500.0
B0200003350,2026-05-21,253,TOYOTA PIXIS VAN,,1,29500.0,25502.75
B0200003350,2026-05-21,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003350,2026-05-21,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003350,2026-05-21,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003351,2026-05-21,607,KIT DEFENSA NV 200 COMPLETA,,1,33000.0,29502.0
B0200003351,2026-05-21,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003351,2026-05-21,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003352,2026-05-21,621,KIT-DEFENSA TOWN ACE COMPLETA! 2024,,1,33000.0,28257.9
B0200003352,2026-05-21,1103,TOWN ACE PORTA ESCALERA CON SEGURIDAD MODERNO,,1,17500.0,17500.0
B0200003352,2026-05-21,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
